object_id,headline,description,material,date,dimensions
1-2024-0732-000,"Telefon, 1950er Jahre","Dieses Festnetztelefon aus den 1950er Jahren weist die typische Formgebung seiner Zeit auf. Mit einer Masse von 1,25 kg und den Maßen HxBxT von 140 x 130 x 220 mm liegt es robust in der Hand. Das Wählrad mit Ziffern und das separate Hörstück prägen das Design. Die verdrahtete Verbindung zum Hörer und das externe Kabel zeugen von der Technologie der Ära, die die Kommunikation auf eine neue Stufe hob.",N/A,1950er Jahre,"Masse: 1,25 kg
Objektmaß HxBxT: 140 x 130 x 220 mm"
1-2024-0504-002,Schlüsselset,"Dieses Set von zwei Schlüsseln, gefertigt zwischen 1975 und 1990, repräsentiert ein alltägliches Objekt mit potenziell signifikanter Funktion. Jeder Schlüssel ist mit Markierungen versehen, die auf seine spezifische Anwendung oder seinen zugehörigen Schließmechanismus hinweisen könnten. Die Abmessungen des größten Schlüssels betragen Ø Höhe: 170 x 3 mm (159 x), was seine relative Grösse im Vergleich zu einem Standardmassstab unterstreicht. Ohne Angabe zum Material verweisen die Schlüssel auf die technologischen Standards und die Herstellungspraktiken der späten 20. Jahrhunderts.",N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
1-2024-0587-000,Filmkamera der Fernseh GmbH,"Dieses Objekt ist eine Filmkamera der Fernseh GmbH, gefertigt um 1960. Mit ihren Maßen von HxBxT: 420 x 280 x 640 mm und einer Masse von 41,4 kg repräsentiert sie ein bedeutendes Stück technischer Entwicklung aus der Mitte des 20. Jahrhunderts. Die Kamera zeichnet sich durch eine robuste Bauweise aus, die auf Langlebigkeit und professionellen Einsatz ausgelegt ist. Ihr Design spiegelt die Ästhetik und Funktionalität der damaligen professionellen Kinotechnik wider und ermöglichte wegweisende filmische Produktionen.",N/A,um 1960,"Objektmaß HxBxT: 420 x 280 x 640 mm
Masse: 41,4 kg"
1-2024-0770-000,Tragbarer Lautsprecher,"Dieses kompakte, silberfarbene Gerät wurde um 2000 hergestellt und misst 55 x 65 x 85 mm (H x B x T). Es verfügt über ein sichtbares Lautsprechergitter, eine ausfahrbare Antenne sowie die Bedienelemente ""RESET"" und ""SCAN"". Das Gerät präsentiert sich neben seiner originalen Verpackung, die mit einem Barcode und dem CE-Zeichen versehen ist. Die prägnante Form und die funktionalen Elemente deuten auf einen tragbaren Lautsprecher hin, der für den persönlichen Gebrauch konzipiert wurde.",N/A,um 2000,Objektmaß HxBxT: 55 x 65 x 85 mm
1-2024-0703-000,Messzylinder mit Halterung,"Dieses Objekt, datiert um 1985, besteht aus einem zylindrischen Messgerät mit einer Länge von 125 mm und einem Durchmesser von 18 mm. Es wird in einer rechteckigen Holzhalterung präsentiert, deren Abmessungen 30 x 150 x 42 mm betragen. Das gesamte Ensemble wiegt 0,2 kg. Die Beschriftung ""Abt. QM Log 6"" auf der Halterung deutet auf seine Funktion im Bereich der Qualitätskontrolle oder Protokollierung hin, während der zylindrische Körper Präzision und Messung impliziert.",N/A,um 1985,"Ø Länge: 18 x 125 mm
Masse: 0,2 kg (mit Halter)
Objektmaß HxBxT: 30 x 150 x 42 mm (Halter)"
1-2024-0734-000,Tischtelefon der 1950er Jahre,"Dieses Tischtelefon aus den 1950er Jahren wiegt 1,25 kg und hat die Maße 140 x 140 x 220 mm (HxBxT). Es verfügt über ein charakteristisches Wählscheiben-Design, das typisch für die damalige Zeit ist. Das Spiralhörerkabel verbindet den Hörer mit dem Hauptkörper des Telefons. Solche Geräte waren zentrale Kommunikationsmittel in Haushalten und Büros und spiegeln das technologische Design und die Funktionalität ihrer Ära wider. Das Gehäuse aus N/A-Material ist robust und funktional gestaltet.",N/A,1950er Jahre,"Masse: 1,25 kg
Objektmaß HxBxT: 140 x 140 x 220 mm"
1-2024-0504-000,"Jukebox ""Rock-Ola""","Dieses Jukebox-Modell, hergestellt zwischen 1975 und 1990, repräsentiert einen ikonischen Stil der Unterhaltungsautomaten. Mit seinen charakteristischen Abmessungen von Ø Höhe: 170 x 3 mm (159 x) ist das Gerät für seine Zeit typisch proportioniert. Die visuelle Gestaltung des Displays mit dem Schriftzug ""ROCK-OLA"" und den bunten Farbstreifen verspricht ein lebendiges Musik- und Seherlebnis. Solche Jukeboxen waren zentrale Elemente in Gaststätten und öffentlichen Räumen, wo sie durch die Auswahl und das Abspielen von Musik zur Geselligkeit beitrugen.",N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
1-2024-0695-000,Holzkasten mit Anschlüssen,"Dieser rechteckige Holzkasten, gefertigt um 1910, misst 140 x 140 x 70 mm und wiegt 0,6 kg. Seine Konstruktion aus Holz, erkennbar an den sichtbaren Nähten und der Patina, deutet auf eine technische Funktion hin. Mehrere Anschlüsse auf der Oberseite und eine seitliche Öffnung mit einem runden Element lassen auf eine Verbindung mit elektrischen oder mechanischen Systemen schließen. Die schlichte Gestaltung und die robusten Materialien unterstreichen die praktische Anwendung eines solchen Objekts in der frühen industriellen oder wissenschaftlichen Ära.",N/A,um 1910,"Objektmaß HxBxT: 140 x 140 x 70 mm
Masse: 0,6 kg"
1-2024-0754-000,Steuerpult für Kommunikationssysteme,"Dieses Steuerpult aus dem Jahr 1995 ist ein integraler Bestandteil eines Kommunikationssystems. Mit seinen Abmessungen von 90 x 485 x 280 mm und einem Gewicht von 4,3 kg wurde es für den Einsatz in professionellen Umgebungen konzipiert. Das Gerät verfügt über eine Vielzahl von Tasten und Displays, die auf eine komplexe Bedienoberfläche hindeuten. Die Beschriftung ""CONTROL PANEL CP-16e"" auf der Vorderseite lässt auf seine Funktion als zentrale Steuereinheit für bis zu 16 Kanäle schließen. Die robuste Konstruktion deutet auf eine Langlebigkeit und Zuverlässigkeit hin, die für technische Geräte dieser Art unerlässlich sind.",N/A,um 1995,"Objektmaß HxBxT: 90 x 485 x 280 mm
Masse: 4,3 kg"
1-2024-0748-000,Media Pool Video Record/Play Gerät,"Dieses Gerät, datiert um das Jahr 2000, dient als Video-Aufnahme- und Wiedergabesystem, erkennbar an der Beschriftung ""MEDIA POOL Video Record / Play"". Seine robuste Konstruktion mit den Maßen 90 x 480 x 610 mm und einem Gewicht von 10,5 kg deutet auf den professionellen Einsatz im Broadcast- oder Medienschaffen hin. Die Kennzeichnung ""PHILIPS"" und ""BTS"" verweist auf die Hersteller und die technologische Herkunft des Geräts. Die Anordnung von Lüftungsschlitzen und einem Lüfter an der Rückseite unterstreicht die Notwendigkeit einer effektiven Kühlung während des Betriebs.",N/A,um 2000,"Objektmaß HxBxT: 90 x 480 x 610 mm
Masse: 10,5 kg"
1-2024-0585-000,Bedienfeld aus den 1960er Jahren,"Dieses Bedienfeld, gefertigt um 1965, wiegt 3,05 kg und misst 190 x 120 x 340 mm (H x B x T). Seine graue Metallkonstruktion beherbergt zahlreiche beschriftete Tasten und Schalter, die auf eine spezialisierte Funktion im Bereich der Studiotechnik oder ähnlichen Anlagen hindeuten. Die Beschriftungen wie „KA 1“, „TBC“ und „Studio“ lassen auf eine Bedienoberfläche für technische Prozesse schließen, bei der unterschiedliche Funktionen oder Kanäle gesteuert werden konnten. Das Gerät repräsentiert die damalige Hardware-Schnittstelle für komplexe technische Abläufe.",N/A,um 1965,"Masse: 3,05 kg
Objektmaß HxBxT: 190 x 120 x 340 mm"
1-2024-0583-002,Messgerät mit variabler Okularvergrößerung,"Dieses Gerät, gefertigt um 1990, präsentiert sich als ein komplexes Messinstrument mit einem robusten, schwarzen Gehäuse. Mit seinen Abmessungen von 270 x 260 x 660 mm und einem Gewicht von 24,8 kg zeugt es von seiner soliden Konstruktion. Die Oberflächen weisen eine Mischung aus glatten und gerändelten Partien auf, insbesondere am Griffende, was auf eine ergonomische Handhabung hindeutet. Auffällig sind die diversen Bedienelemente und Anzeigen, die auf präzise Funktionen und Anpassungsmöglichkeiten im Betrieb schließen lassen. Das Objekt ist ein eindrucksvolles Beispiel für die technische Entwicklung im Bereich der Messinstrumente.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0523-000,Tragbares Rundfunkempfangsgerät,"Dieses tragbare Rundfunkempfangsgerät, hergestellt zwischen 1939 und 1941, besticht durch sein Gehäuse im Kofferdesign, das mit einer texturierten braunen Oberfläche überzogen ist. Mit seinen Maßen von 80 x 255 x 160 mm und einem Gewicht von 3,1 kg war es für den mobilen Einsatz konzipiert. Die abnehmbare Frontklappe offenbart die technische Innenausstattung des Geräts, bestehend aus Vakuumröhren und elektronischen Bauteilen. Dieses Gerät repräsentiert die fortschrittliche Radiotechnologie der späten 1930er und frühen 1940er Jahre und ermöglichte den Empfang von Rundfunkprogrammen an verschiedenen Orten.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0564-000,Wähltelefon aus den 1960er Jahren,"Dieses Wähltelefon stammt aus den 1960er Jahren und wiegt 2,15 kg. Mit seinen Maßen von 150 mm Höhe, 240 mm Breite und 185 mm Tiefe (HxBxT) repräsentiert es die Kommunikationsmittel seiner Zeit. Sein klassisches Design mit dem drehbaren Ziffernblatt für die Rufnummerneingabe und dem separaten Hörer unterstreicht die Funktionalität und Ästhetik der frühen Nachkriegszeit. Das Gerät ist ein Zeugnis der technologischen Entwicklung und des Alltagslebens in der zweiten Hälfte des 20. Jahrhunderts.",N/A,1960er Jahre,"Masse: 2,15 kg
Objektmaß HxBxT: 150 x 240 x 185 mm"
1-2024-0738-000,Tastaturmodul aus den 1970er Jahren,"Dieses kompakte Tastaturmodul, hergestellt in den 1970er Jahren, diente als Schnittstelle für die Eingabe von numerischen und alphabethischen Daten. Mit einer Masse von 2 kg und Abmessungen von 60 x 90 x 70 mm (Höhe x Breite x Tiefe) verfügt es über eine klare Anordnung von Tasten, die von 0 bis 9 sowie die Buchstaben T, O und U kennzeichnen. Die beige-farbenen Tasten und das integrierte Anschlussfeld deuten auf eine Funktion innerhalb eines größeren elektronischen Systems hin, typisch für die damalige Technologie in Kommunikation oder Datenverarbeitung.",N/A,1970er Jahre,"Masse: 2 kg
Objektmaß HxBxT: 60 x 90 x 70 mm"
1-2024-0583-003,"Kabelassemblage, um 1990","Dieses Objekt, mit der Museumsnummer 1-2024-0583-003, ist eine Kabelassemblage, die um 1990 gefertigt wurde. Die genaue Materialzusammensetzung ist nicht bekannt. Die Abmessungen des Objekts betragen HxBxT: 270 x 260 x 660 mm und es wiegt 24,8 kg. Die sichtbaren Stecker und Kabel deuten auf eine Funktion als Verbindungselement in einem technischen System hin, möglicherweise im Bereich der Audio-, Video- oder Messtechnik. Die robuste Konstruktion lässt auf eine professionelle Anwendung schließen.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0523-001,Tragbares Gerät (1939-1941),"Dieses kompakte, tragbare Gerät, gefertigt zwischen 1939 und 1941, präsentiert sich in einem robusten, rechteckigen Metallgehäuse. Mit seinen Abmessungen von 80 x 255 x 160 mm und einem Gewicht von 3,1 kg ist es auf Mobilität ausgelegt. Die Oberfläche weist sichtbare Gebrauchsspuren auf, was auf seine Funktionalität und den Einsatz im Zeitraum des Zweiten Weltkriegs hinweist. Die perforierten Öffnungen an einer Seite und die angeschlossene Kabelverbindung deuten auf seine elektrische Funktion als ein integraler Bestandteil von militärischer oder ziviler Technologie der damaligen Zeit hin.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0699-000,Präsenter Koffer mit Datenträger,"Dieses Objekt, datiert auf das Jahr 1985, besteht aus einem repräsentativen Koffer mit den Maßen HxBxT: 30 x 185 x 185 mm. Das Gewicht des Objekts inklusive Verpackung beträgt 0,3 kg. Im Inneren des dunkelblauen, gepolsterten Koffers befindet sich ein runder Datenträger, der einen Durchmesser von 120 mm und eine Höhe von 4 mm aufweist. Der Koffer dient der sicheren Aufbewahrung und stilvollen Präsentation des Datenträgers, dessen genaue Beschaffenheit nicht spezifiziert ist. Das Etikett ""TOPSIDE"" auf dem Datenträger deutet auf seine Funktion oder Orientierung hin.",N/A,um 1985,"Objektmaß HxBxT: 30 x 185 x 185 mm (Verpackung)
Masse: 0,3 kg (inkl. Verpackung)
Ø Höhe: 120 x 4 mm"
1-2024-0504-001,Tonträger-Sammlung,"Diese Sammlung von Tonträgern stammt aus der Zeit zwischen 1975 und 1990. Die einzelnen Objekte, deren Material nicht spezifiziert ist, weisen jeweils einen Durchmesser von 170 x 3 mm auf. Die visuellen Darstellungen zeigen mehrere dieser Tonträger, die teilweise in einer Transportkiste aufbewahrt und arrangiert sind. Die Aufnahme dokumentiert die physikalische Präsenz der Objekte und deutet auf ihre Funktion als Medium zur Speicherung und Wiedergabe von Audioinhalten hin, typisch für die musikalische und kulturelle Landschaft der späten 20. Jahrhunderts.",N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
1-2024-0748-001,"Medien-Verarbeitungseinheit ""BTS""","Diese Medien-Verarbeitungseinheit, datiert um das Jahr 2000, zeichnet sich durch ihre robusten Abmessungen von 90 x 480 x 610 mm und ein Gewicht von 10,5 kg aus. Die mehrschichtige Konstruktion, erkennbar an den übereinander angeordneten Modulen mit der Kennzeichnung ""BTS"" und ""Media Pool"", deutet auf eine komplexe Funktion innerhalb eines technologischen Systems hin. Die äußere Erscheinung ist von funktionalem Design geprägt, mit sichtbaren Verschlüssen und Lüftungsgittern, die auf eine interne Wärmeableitung schließen lassen. Der objektive Aufbau lässt auf eine professionelle Anwendung in der Medienverarbeitung schließen.",N/A,um 2000,"Objektmaß HxBxT: 90 x 480 x 610 mm
Masse: 10,5 kg"
1-2024-0697-000,Messinstrument im Koffer,"Dieses Messinstrument, datiert um 1980, präsentiert sich als präzises Werkzeug zur Erfassung von Maßen. Das Objekt hat eine Höhe von 240 mm, eine Breite von 85 mm und eine Tiefe von 45 mm. Es wird in einem Koffer aufbewahrt, dessen Maße 50 x 270 x 140 mm betragen. Mit einer Masse von 0,4 kg ist es handlich und leicht zu transportieren. Die detaillierte Ausführung des Instruments deutet auf seinen spezialisierten Einsatz in einem technischen oder wissenschaftlichen Kontext hin.",N/A,um 1980,"Objektmaß HxBxT: 240 x 85 x 45 mm
Objektmaß HxBxT: 50 x 270 x 140 mm (Verpackung)
Masse: 0,4 kg"
1-2024-0736-000,Schwarz glänzendes Wählscheibentelefon aus den 1930er Jahren,"Dieses Telefon, gefertigt in den 1930er Jahren, zeichnet sich durch sein klassisches Design und seine schwarze, glänzende Oberfläche aus. Mit einer Höhe von 160 mm, einer Breite von 240 mm und einer Tiefe von 150 mm sowie einem Gewicht von 1,8 kg war es ein typisches Kommunikationsmittel seiner Zeit. Die prominent platzierte Wählscheibe ermöglichte die manuelle Eingabe von Rufnummern. Das Gerät repräsentiert die technologische Entwicklung im Bereich der Telekommunikation und ist ein Zeugnis des Alltagslebens in den frühen Jahrzehnten des 20. Jahrhunderts.",N/A,1930er Jahre,"Masse: 1,8 kg
Objektmaß HxBxT: 160 x 240 x 150 mm"
1-2024-0795-004,Präzisionsmessteil mit Handrad,"Dieses Objekt aus dem Jahr 1975 besteht aus einem charakteristischen schwarzen Handrad, das mit einem robusten metallischen Arm verbunden ist. Ein graues Kabel führt von einer Einheit, die mit ""TAYLOR HOBSON"" beschriftet ist, weg. Die Abmessungen des Objekts betragen 320 x 210 x 530 mm (ohne Objektiv), und es wiegt 16,9 kg. Die Konstruktion deutet auf eine Funktion im Bereich der Präzisionsmessung oder -steuerung hin, wobei das Handrad eine manuelle Eingabe ermöglicht und die angeschlossene Einheit sowie das Kabel auf eine Datenübertragung oder sensorische Funktion schließen lassen.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0795-001,Professionelle Kameraausrüstung aus dem Jahr 1975,"Dieses professionelle Kameraobjektiv, hergestellt im Jahr 1975, präsentiert sich in einem robusten Gehäuse. Seine Maße betragen 320 mm in der Höhe, 210 mm in der Breite und 530 mm in der Tiefe (ohne Objektiv). Mit einem Gewicht von 16,9 kg deutet seine Konstruktion auf eine industrielle oder wissenschaftliche Anwendung hin. Die blau-graue Farbgebung des Gehäuses und das aufgedruckte Logo ""VAROTAL"" auf der Seite suggerieren seine Herkunft von einem spezialisierten Hersteller für Bildgebungsgeräte.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0587-001,Beschriftungselemente um 1960,"Dieses Konvolut, datiert um 1960, besteht aus verschiedenen Beschriftungselementen mit den Zeichen ""A"", ""B"", ""1"", ""2"", ""3"" und ""4"". Die Objekte sind in dunklem Material gefertigt und weisen eine schlichte, funktionale Gestaltung auf. Sie sind so konzipiert, dass sie offensichtlich zur Kennzeichnung oder Organisation dienen. Mit einer Masse von 41,4 kg und Abmessungen von HxBxT: 420 x 280 x 640 mm handelt es sich um eine Sammlung von Objekten, die für institutionelle oder gewerbliche Zwecke gedacht waren.",N/A,um 1960,"Objektmaß HxBxT: 420 x 280 x 640 mm
Masse: 41,4 kg"
1-2024-0795-000,Bosch Fernseh Studiokamera,"Diese Studiokamera der Marke Bosch Fernseh aus dem Jahr 1975 zeichnet sich durch ihre robuste Konstruktion und ihr charakteristisches Design aus. Mit ihren Maßen von 320 x 210 x 530 mm (ohne Objektiv) und einem Gewicht von 16,9 kg ist sie ein signifikantes Beispiel für die professionelle Videotechnik ihrer Zeit. Die Kamera wurde für den Einsatz in Fernsehstudios konzipiert und repräsentiert einen wichtigen Entwicklungsschritt in der Bildaufzeichnungstechnologie. Ihre physische Präsenz unterstreicht die technologische Fortentwicklung im Rundfunkwesen der 1970er Jahre.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
