object_id,headline,description,material,date,dimensions
1-2024-0667-000,Schlips mit Satellitenmotiv,"Dieser Schlips, datiert um 1990, zeichnet sich durch sein markantes Design aus. Er ist mit schmalen, hellen Streifen auf einem dunklen Grund versehen und trägt ein aufgedrucktes Motiv eines Satelliten. Unterhalb des Satelliten ist die Aufschrift ""ANT"" zu erkennen, was auf eine mögliche Verbindung zu einem Unternehmen oder einer Organisation in diesem Bereich hindeutet. Mit einer Länge von 1400 mm und einer Breite von 80 mm entspricht seine Form dem typischen Erscheinungsbild eines Schlips aus dieser Zeit. Das Material ist nicht spezifiziert.",N/A,um 1990,Objektmaß LxBxH: 1400 x 80 x 5 mm
1-2024-0705-000,"Drei Artefakte, ca. 1985","Diese drei Objekte, datiert auf etwa 1985, repräsentieren eine Sammlung von bemerkenswerten Artefakten. Sie sind charakterisiert durch ihre kompakte Größe mit einer Höhe von ca. 100 x 25 mm pro Stück. Das Gesamtgewicht dieser Gruppe beträgt 0,55 kg. Die Oberfläche der Objekte ist dunkel und glatt, was auf ihre Herstellungsweise oder ihr Material hindeutet. Ihre genaue Funktion ist aus den vorliegenden Informationen nicht ersichtlich, jedoch suggeriert die Form, insbesondere des runden Objekts mit zentralem Loch, eine mögliche Verwendung als Gewicht oder Zierobjekt.",N/A,um 1985,"Ø Höhe: ca. 100 x 25 mm (3 Stück)
Masse: 0,55 kg (Gesamtgewicht)"
1-2024-0586-000,Bedienfeld mit Mikrofon,"Dieses Bedienfeld aus dem Jahr 1965 ist ein faszinierendes Beispiel für die Technik dieser Ära. Mit einer Höhe von 180 mm, einer Breite von 125 mm und einer Tiefe von 345 mm ist es ein kompaktes, aber robustes Gerät mit einem Gewicht von 34,5 kg. Es verfügt über eine Vielzahl von Tasten und ein flexibles Mikrofon, was auf seine Funktion als Steuereinheit für Kommunikations- oder Kontrollsysteme hindeutet. Die Beschriftungen und das Design lassen auf eine spezifische Anwendung im technischen Bereich schließen.",N/A,um 1965,"Objektmaß HxBxT: 180 x 125 x 345 mm
Masse: 34,5 kg"
1-2024-0769-000,Milchradio,"Dieses Objekt, datiert um das Jahr 2000, repräsentiert ein ""Milchradio"", das in seiner äußeren Form einer Milchpackung nachempfunden ist. Die Abmessungen betragen 95 x 75 x 75 mm (Höhe x Breite x Tiefe). Das Design spielt auf die Verpackung von teilentrahmter Milch an und integriert diese visuelle Anlehnung in seine Funktionalität. Das Objekt zeigt eine spielerische Verbindung zwischen alltäglichen Konsumgütern und Technologie, was auf eine kreative und humorvolle Auseinandersetzung mit Produktdesign und Marketing hinweist. Der Materialwert ist nicht spezifiziert.",N/A,um 2000,Objektmaß HxBxT: 95 x 75 x 75 mm
1-2024-0732-000,Tischtelefon der 1950er Jahre,"Dieses Tischtelefon aus den 1950er Jahren repräsentiert ein wichtiges Stück Kommunikationsgeschichte. Mit seinen Abmessungen von 140 x 130 x 220 mm und einem Gewicht von 1,25 kg zeigt es die robuste Bauweise seiner Entstehungszeit. Das Gerät verfügt über ein Wählrad zur Nummernvergabe und einen separaten Hörer, verbunden mit dem Hauptkörper durch Spiralkabel. Die Gestaltung spiegelt den funktionalen und industriellen Stil des mittleren 20. Jahrhunderts wider und war ein Standardelement in Haushalten und Büros jener Ära.",N/A,1950er Jahre,"Masse: 1,25 kg
Objektmaß HxBxT: 140 x 130 x 220 mm"
1-2024-0504-002,Schlüssel-Set,Description not available.,N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
1-2024-0587-000,Kinokamera,Description not available.,N/A,um 1960,"Objektmaß HxBxT: 420 x 280 x 640 mm
Masse: 41,4 kg"
1-2024-0770-000,Kompakter Lautsprecher,"Dieses Objekt, datiert um 2000, ist ein kleiner Lautsprecher mit einer runden, silbernen Form, ausgestattet mit einem perforierten Gitter für die Schallwiedergabe und einer ausziehbaren Antenne. Auf der Vorderseite befinden sich zwei Bedientasten, beschriftet mit ""RESET"" und ""SCAN"", was auf seine Funktion als tragbares Audiogerät hinweist. Die Abmessungen des Objekts betragen 55 x 65 x 85 mm (Höhe x Breite x Tiefe). Es ist ein Beispiel für die Entwicklung kompakter Elektronik für den Heimgebrauch in dieser Periode.",N/A,um 2000,Objektmaß HxBxT: 55 x 65 x 85 mm
1-2024-0703-000,Messwerkzeug mit Halterung,"Dieses Objekt, datiert um 1985, ist ein Präzisionswerkzeug, das zur Messung und Qualitätskontrolle eingesetzt wurde. Es besteht aus einem zylindrischen Metallteil mit einem Durchmesser von 18 mm und einer Länge von 125 mm, das sicher in einer Holzhalterung ruht. Die Gesamtmasse mit Halter beträgt 0,2 kg. Die Abmessungen des Objekts mit Halter betragen 30 mm (Höhe) x 150 mm (Breite) x 42 mm (Tiefe). Die aufgedruckte Kennzeichnung ""Abt. QM Log 6"" deutet auf seine Funktion innerhalb einer Abteilung für Qualitätsmanagement hin.",N/A,um 1985,"Ø Länge: 18 x 125 mm
Masse: 0,2 kg (mit Halter)
Objektmaß HxBxT: 30 x 150 x 42 mm (Halter)"
1-2024-0734-000,Telefon mit Wählscheibe,"Dieses Telefon aus den 1950er Jahren wiegt 1,25 kg. Seine Abmessungen betragen 140 x 140 x 220 mm (Höhe x Breite x Tiefe). Das Gerät verfügt über eine charakteristische Wählscheibe zur Rufnummerneingabe und einen Handapparat mit Spiralkabel. Die organisch geformte Basis und das neutrale Farbdesign spiegeln die Ästhetik der Mitte des 20. Jahrhunderts wider. Dieses Objekt repräsentiert ein wichtiges Kommunikationsmittel seiner Zeit und verdeutlicht den technologischen Fortschritt im häuslichen und beruflichen Umfeld.",N/A,1950er Jahre,"Masse: 1,25 kg
Objektmaß HxBxT: 140 x 140 x 220 mm"
1-2024-0504-000,"Jukebox ""Rock-Ola""","Dieses Ausstellungsstück, gefertigt zwischen 1975 und 1990, repräsentiert eine charakteristische Jukebox der späten 20. Jahrhunderts. Mit einer Höhe von 170 x 3 mm (159 x) zeichnet sich das Gerät durch seine markante Gestaltung aus, die an den visuellen Stil der Ära erinnert. Das obere Bedienfeld mit dem Namen ""Rock-Ola"" und die dahinterliegende grafische Darstellung deuten auf seine Funktion als Musikwiedergabegerät hin, das in öffentlichen Räumen wie Bars oder Restaurants Aufstellung fand.",N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
1-2024-0695-000,Holzkasten mit technischen Anschlüssen,"Dieser Holzkasten, datiert um 1910, weist eine Höhe von 140 mm, eine Breite von 140 mm und eine Tiefe von 70 mm auf. Das Objekt wiegt 0,6 kg. Die Oberfläche zeigt deutliche Gebrauchsspuren und ist mit kleinen metallenen Elementen versehen, die auf Anschlüsse oder Befestigungspunkte hindeuten. Die Konstruktion aus Holz und die Anordnung der Elemente lassen auf eine Funktion im Bereich der frühen Elektrotechnik oder Messtechnik schließen, möglicherweise als Gehäuse für ein Gerät oder eine Komponente. Seine kompakte Größe macht es zu einem typischen Beispiel für die technische Entwicklung zu Beginn des 20. Jahrhunderts.",N/A,um 1910,"Objektmaß HxBxT: 140 x 140 x 70 mm
Masse: 0,6 kg"
1-2024-0754-000,Bedienfeld für Kommunikationssysteme,"Dieses Bedienfeld, hergestellt um 1995, dient zur Steuerung von Kommunikationssystemen. Mit einer Höhe von 90 mm, einer Breite von 485 mm und einer Tiefe von 280 mm sowie einem Gewicht von 4,3 kg ist es als ein robustes, funktionales Gerät konzipiert. Die Frontplatte zeigt eine Anordnung von Tasten und Displays, die auf komplexe Steuermöglichkeiten hinweisen. Das schlichte Metallgehäuse unterstreicht den technischen Charakter des Objekts.",N/A,um 1995,"Objektmaß HxBxT: 90 x 485 x 280 mm
Masse: 4,3 kg"
1-2024-0748-000,"Video Record/Play-Gerät ""Media Pool""","Dieses aus dem Jahr 2000 stammende Gerät, bezeichnet als ""Media Pool Video Record/Play"", ist ein wichtiges Element der technischen Infrastruktur für die Medienaufzeichnung und -wiedergabe. Mit einer Masse von 10,5 kg und den Abmessungen von 90 x 480 x 610 mm (Höhe x Breite x Tiefe) ist es für den professionellen Einsatz konzipiert. Die Beschriftungen ""BTS"" und ""PHILIPS"" deuten auf die Hersteller hin und geben Aufschluss über seine Herkunft und die verbundene Technologie. Das Gerät repräsentiert die Entwicklungsstufe digitaler Videoaufzeichnungssysteme zu Beginn des 21. Jahrhunderts.",N/A,um 2000,"Objektmaß HxBxT: 90 x 480 x 610 mm
Masse: 10,5 kg"
1-2024-0585-000,Schaltpult,"Dieses Schaltpult aus dem Jahr 1965 wiegt 3,05 kg und hat die Maße 190 x 120 x 340 mm. Es weist eine Reihe von beschrifteten Tasten und Schaltern auf, die auf seine Funktion als Bedieneinheit in einem technischen oder professionellen Umfeld hinweisen. Die Anordnung und Beschriftung der Elemente wie ""KA 1"", ""TBC"" und ""Studio Manager"" deuten auf eine Anwendung im Bereich der Medienproduktion oder der Steuerung komplexer Systeme hin. Die solide Konstruktion lässt auf Langlebigkeit und Zuverlässigkeit schließen.",N/A,um 1965,"Masse: 3,05 kg
Objektmaß HxBxT: 190 x 120 x 340 mm"
1-2024-0583-002,Tragbares Messgerät,"Dieses tragbare Messgerät, gefertigt um 1990, zeichnet sich durch seine robuste Konstruktion aus und wiegt 24,8 kg. Mit den Maßen von 270 x 260 x 660 mm (Höhe x Breite x Tiefe) ist es für den mobilen Einsatz konzipiert. Seine Funktionalität wird durch die sichtbaren Bedienelemente und die an beiden Enden angebrachten Griffe unterstrichen, die eine präzise Handhabung und Steuerung ermöglichen. Das Objekt ist in Schwarz gehalten und vermittelt einen Eindruck von technischer Präzision und Zuverlässigkeit.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0523-000,Tragbares Radio,"Dieses tragbare Radio aus den Jahren 1939-1941 wiegt 3,1 kg und misst 80 x 255 x 160 mm (H x B x T). Die äußere Hülle ist mit einem geprägten, krokodilartigen Muster verziert und mit einem Ledergriff versehen, der auf Langlebigkeit und Mobilität hindeutet. Das Gerät verfügt über ein Bedienfeld mit Knöpfen und Skalen sowie ein Lautsprechergitter. Die geöffnete Klappe gibt den Blick auf die innere Elektronik frei, einschließlich Vakuumröhren und Transformatoren, was auf die technologische Entwicklung der Rundfunktechnik in dieser Periode hinweist.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0564-000,Wählscheibentelefon der 1960er Jahre,"Dieses Wählscheibentelefon, das auf die 1960er Jahre datiert wird, zeugt von der Kommunikationstechnologie seiner Zeit. Mit einer Masse von 2,15 kg und Abmessungen von 150 x 240 x 185 mm (Höhe x Breite x Tiefe) liegt es solide in der Hand und auf dem Schreibtisch. Das charakteristische Wählrad ermöglichte das Wählen von Nummern durch Drehen der Scheibe. Die schnurgebundene Bauweise und das klassische Design sind typisch für diese Ära des Telefons und repräsentieren die Ästhetik und Funktionalität der damaligen Haushaltsgeräte.",N/A,1960er Jahre,"Masse: 2,15 kg
Objektmaß HxBxT: 150 x 240 x 185 mm"
1-2024-0738-000,Tastenfeld aus den 1970er Jahren,"Dieses kompakte Tastenfeld stammt aus den 1970er Jahren und wiegt 2 kg. Seine Abmessungen betragen 60 x 90 x 70 mm (Höhe x Breite x Tiefe). Die Tasten sind in einer 4x3-Anordnung mit den Ziffern 0 bis 9 sowie den Buchstaben T und U gestaltet. Das Gerät verfügt über eine Anschlussleiste, die auf eine Funktion innerhalb eines größeren Systems hindeutet. Es repräsentiert eine gängige Eingabemethode für elektronische Geräte dieser Ära, die sowohl numerische als auch alphanumerische Daten ermöglichte.",N/A,1970er Jahre,"Masse: 2 kg
Objektmaß HxBxT: 60 x 90 x 70 mm"
1-2024-0583-003,Kabelstrang für technische Geräte,"Dieser Kabelstrang, gefertigt um 1990, dient dem Anschluss von technischen Geräten. Seine Abmessungen betragen 270 x 260 x 660 mm, bei einem Gewicht von 24,8 kg. Die robusten Stecker und die Ummantelung lassen auf eine Anwendung in anspruchsvollen Umgebungen schließen, wo eine sichere und zuverlässige Signalübertragung erforderlich ist. Die Anordnung der Kabel deutet auf eine spezifische Funktion innerhalb eines größeren technischen Systems hin.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0523-001,Funkgerät aus den frühen 1940er Jahren,"Dieses rechteckige Gehäuse, gefertigt aus einem nicht näher spezifizierten Material, datiert zwischen 1939 und 1941. Es wiegt 3,1 kg und misst 80 x 255 x 160 mm (Höhe x Breite x Tiefe). Die Oberfläche des dunklen Kastens weist mehrere Nieten und sichtbare Schrauben auf, was auf eine robuste Konstruktion hindeutet. Eine braune Stoffleitung mit einem Stecker ist deutlich sichtbar, und auf einer Seite des Gehäuses sind mehrere runde Lüftungsschlitze angebracht. Diese physischen Merkmale legen nahe, dass es sich um ein elektronisches Gerät handelt, das vermutlich für Kommunikationszwecke eingesetzt wurde.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0699-000,CD im Präsentationsetui,"Dieses Objekt, datiert auf das Jahr 1985, ist eine CD, die in einem eleganten blauen Präsentationsetui untergebracht ist. Das Etui misst HxBxT 30 x 185 x 185 mm und wiegt 0,3 kg inklusive Verpackung. Die CD selbst hat eine Höhe von 120 x 4 mm. Die glatte, spiegelnde Oberfläche der CD, auf der die Beschriftung ""TOPSIDE"" zu erkennen ist, deutet auf ihre Funktion als Speichermedium hin. Das Etui schützt die CD und unterstreicht ihren Wert als potenzielles Geschenk oder als Objekt von Bedeutung.",N/A,um 1985,"Objektmaß HxBxT: 30 x 185 x 185 mm (Verpackung)
Masse: 0,3 kg (inkl. Verpackung)
Ø Höhe: 120 x 4 mm"
1-2024-0504-001,"Schallplatte, 1975 - 1990","Dieses Objekt, eine Schallplatte, datiert zwischen 1975 und 1990. Die Abmessungen betragen Ø Höhe: 170 x 3 mm (159 x). Das Material ist nicht spezifiziert. Die Schallplatte ist ein Medium zur Speicherung und Wiedergabe von Audioaufnahmen und repräsentiert einen wichtigen Aspekt der Musikindustrie und des Musikkonsums in der zweiten Hälfte des 20. Jahrhunderts. Ihre Präsenz in einer Lagerkiste deutet auf eine Sammlung oder Archivierung von Tonträgern hin.",N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
1-2024-0748-001,Medium-Panel-Einheit,"Diese aufwendige Einheit, gefertigt um 2000, repräsentiert ein bedeutendes technisches Gerät. Mit den Maßen von 90 x 480 x 610 mm und einem Gewicht von 10,5 kg handelt es sich um eine robuste Konstruktion. Die offensichtliche Modularität und die Kennzeichnung mit ""BTS"" deuten auf eine Funktion im Bereich der Telekommunikation oder Medienverarbeitung hin. Die beiden übereinanderliegenden Sektionen, jeweils mit ""Media Pool"" beschriftet, legen eine hierarchische oder funktional getrennte Anordnung nahe, die für die Verarbeitung und Verteilung von Daten oder Mediendaten konzipiert ist.",N/A,um 2000,"Objektmaß HxBxT: 90 x 480 x 610 mm
Masse: 10,5 kg"
1-2024-0697-000,Messinstrument im Etui,"Dieses Präzisionsmessinstrument, gefertigt um 1980, präsentiert sich in einem schlichten, weißen Gehäuse. Es verfügt über eine analoge Anzeige, die auf präzise Messungen hinweist. Das Objekt misst 240 x 85 x 45 mm und wiegt 0,4 kg. Es wird in einem passgenauen schwarzen Etui mit grüner Polsterung aufbewahrt, dessen Maße 50 x 270 x 140 mm betragen. Die sorgfältige Präsentation im Etui unterstreicht den Wert und die Bedeutung dieses Werkzeugs für seine jeweilige Anwendung.",N/A,um 1980,"Objektmaß HxBxT: 240 x 85 x 45 mm
Objektmaß HxBxT: 50 x 270 x 140 mm (Verpackung)
Masse: 0,4 kg"
1-2024-0736-000,Telefon aus den 1930er Jahren,"Dieses schwarze Bakelit-Telefon aus den 1930er Jahren verkörpert die technologische Entwicklung seiner Zeit. Mit einem Gewicht von 1,8 kg und den Abmessungen von 160 x 240 x 150 mm (Höhe x Breite x Tiefe) zeichnet es sich durch sein robustes Design aus. Der charakteristische Wählscheibenmechanismus und das abnehmbare Hörerteil unterstreichen die Funktionalität eines Kommunikationsgeräts, das einst unverzichtbar war und die Verbindung zwischen Menschen ermöglichte. Die formale Gestaltung spiegelt die Ästhetik der Epoche wider.",N/A,1930er Jahre,"Masse: 1,8 kg
Objektmaß HxBxT: 160 x 240 x 150 mm"
1-2024-0795-004,Mechanisches Stellgerät mit Regler,"Dieses Objekt, gefertigt im Jahr 1975, repräsentiert ein mechanisches Stellgerät, das zur Steuerung und Regulierung von Prozessen diente. Seine kompakten Abmessungen von 320 x 210 x 530 mm (ohne Objektiv) und ein beachtliches Gewicht von 16,9 kg unterstreichen seine robuste Konstruktion. Visuell charakterisiert wird es durch ein schwarzes Steuerrad, das mit einem komplexen Mechanismus verbunden ist. Dieses Teil diente wahrscheinlich als Schnittstelle für menschliche Bedienung in industriellen oder wissenschaftlichen Umgebungen, wo präzise Einstellungen erforderlich waren.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0795-001,"Varotal Kamera, 1975","Dieses Objekt, eine Varotal Kamera aus dem Jahr 1975, demonstriert die technologische Entwicklung im Bereich der Bildaufnahme. Mit ihren Abmessungen von 320 x 210 x 530 mm (ohne Objektiv) und einem Gewicht von 16,9 kg zeugt sie von robuster Bauweise und professioneller Anwendung. Die Kamera, charakterisiert durch ihr markantes blaues Gehäuse und das große Objektiv, repräsentiert ein wesentliches Instrument für die Erfassung visueller Informationen zu ihrer Entstehungszeit und war vermutlich in anspruchsvollen fotografischen oder filmischen Kontexten im Einsatz.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0587-001,Ensemble von Kennzeichnungsschildern,"Dieses Objekt, das auf um 1960 datiert ist, besteht aus mehreren Kennzeichnungsschildern, die mit Buchstaben (A, B) und Ziffern (1, 2, 3, 4) versehen sind. Die Schilder, die zusammen eine Masse von 41,4 kg wiegen und die Objektmaße HxBxT von 420 x 280 x 640 mm aufweisen, deuten auf eine Funktion zur Organisation und Identifizierung von Objekten oder Bereichen hin. Ihre uniforme Gestaltung lässt auf einen Einsatz in einem systematischeren Umfeld schließen. Das Fehlen von spezifischem Material im Datensatz unterstreicht die Fokussierung auf ihre formale und funktionale Bedeutung als Leitsystem.",N/A,um 1960,"Objektmaß HxBxT: 420 x 280 x 640 mm
Masse: 41,4 kg"
1-2024-0795-000,Fernseh-Kamera,Description not available.,N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0566-000,"Telefon mit Wählscheibe, 1959","Dieses aus dem Jahr 1959 stammende Telefon ist ein bemerkenswertes Beispiel für die Kommunikationstechnologie seiner Zeit. Mit seinen Abmessungen von 170 x 240 x 185 mm und einem Gewicht von 1,9 kg ist es ein solides Gerät. Die glänzende schwarze Oberfläche und die charakteristische Wählscheibe zeugen von einem funktionalen Design, das für die damalige Ära typisch war. Dieses Objekt bietet einen Einblick in die evolutionäre Entwicklung von Telekommunikationsgeräten und ihre Bedeutung im Alltag.",N/A,1959,"Masse: 1,9 kg
Objektmaß HxBxT: 170 x 240 x 185 mm"
1-2024-0733-000,"Telefonapparat, 1950er Jahre","Dieser Telefonapparat aus den 1950er Jahren zeichnet sich durch seine stromlinienförmige Silhouette und das für die Zeit typische wählscheibenförmige Zifferblatt aus. Das Objekt wiegt 1,2 kg und misst 130 mm in der Höhe, 140 mm in der Breite und 230 mm in der Tiefe. Es handelt sich um ein funktionales Kommunikationsmittel, das einen Einblick in die technologische Entwicklung und das Designobjekte der Nachkriegszeit gibt. Seine Robustheit und die charakteristische Form spiegeln die industriellen Produktionsmethoden dieser Ära wider.",N/A,1950er Jahre,"Masse: 1,2 kg
Objektmaß HxBxT: 130 x 140 x 230 mm"
1-2024-0563-000,Wählscheibentelefon aus den 1960er Jahren,"Dieses klassische Wählscheibentelefon, gefertigt in den 1960er Jahren, repräsentiert ein wichtiges Stück Kommunikationstechnologie seiner Zeit. Mit seinen Maßen von 150 x 240 x 185 mm und einem Gewicht von 1,85 kg ist es ein solides Beispiel für die Geräte, die einst in Haushalten und Büros verbreitet waren. Das schwarze Gehäuse und die charakteristische Wählscheibe zeugen von der funktionalen Ästhetik der damaligen Designepoche. Dieses Telefon ist ein Zeugnis für die Entwicklung der Telekommunikation und die Art und Weise, wie Menschen miteinander verbunden waren.",N/A,1960er Jahre,"Masse: 1,85 kg
Objektmaß HxBxT: 150 x 240 x 185 mm"
1-2024-0584-002,Historische Fernseh-Kamera der „FERNSEH GMBH“,Description not available.,N/A,um 1990,"Objektmaß HxBxT: 480 x 300 x 590 mm
Masse: 35 kg"
